,subj,chunk,early,late,axis
257,0119171_neurosketch,7,0.55000000000000004,0.52380952380952384,bed_bench
258,0119172_neurosketch,7,0.5,0.2857142857142857,bed_chair
259,0119173_neurosketch,7,0.5,0.47619047619047616,bed_table
260,0119174_neurosketch,7,0.94999999999999996,0.61904761904761907,bench_chair
261,0120171_neurosketch,7,0.69999999999999996,0.7142857142857143,bench_table
262,0120172_neurosketch,7,0.65000000000000002,0.7142857142857143,chair_table
263,0120173_neurosketch,7,0.5,0.52380952380952384,bed_bench
264,0123171_neurosketch,7,0.69999999999999996,0.66666666666666663,bed_table
265,0123172_neurosketch,7,0.5,0.61904761904761907,bench_chair
266,0123173_neurosketch,7,0.55000000000000004,0.42857142857142855,bench_table
267,0124171_neurosketch,7,0.59999999999999998,0.42857142857142855,chair_table
268,0125171_neurosketch,7,0.65000000000000002,0.5714285714285714,bench_chair
269,0125172_neurosketch,7,0.5,0.5714285714285714,bed_chair
270,1121161_neurosketch,7,0.45000000000000001,0.2857142857142857,bed_table
271,1130161_neurosketch,7,0.65000000000000002,0.7142857142857143,bench_chair
272,1201161_neurosketch,7,0.34999999999999998,0.52380952380952384,bench_table
273,1202161_neurosketch,7,0.65000000000000002,0.5714285714285714,bed_chair
274,1203161_neurosketch,7,0.69999999999999996,0.61904761904761907,chair_table
275,1206161_neurosketch,7,0.40000000000000002,0.7142857142857143,bed_bench
276,1206162_neurosketch,7,0.59999999999999998,0.5714285714285714,bed_chair
277,1206163_neurosketch,7,0.45000000000000001,0.42857142857142855,bed_table
278,1207161_neurosketch,7,0.69999999999999996,0.5714285714285714,bench_chair
279,1207162_neurosketch,7,0.65000000000000002,0.7142857142857143,bench_table
280,0110171_neurosketch,8,0.69999999999999996,0.52380952380952384,bed_bench
281,0110172_neurosketch,8,0.65000000000000002,0.61904761904761907,bed_chair
282,0111171_neurosketch,8,0.55000000000000004,0.33333333333333331,bed_table
283,0112171_neurosketch,8,0.59999999999999998,0.5714285714285714,bench_chair
284,0112172_neurosketch,8,0.65000000000000002,0.47619047619047616,bench_table
285,0112173_neurosketch,8,0.45000000000000001,0.42857142857142855,chair_table
286,0113171_neurosketch,8,0.75,0.52380952380952384,bed_chair
287,0115172_neurosketch,8,0.29999999999999999,0.61904761904761907,bed_table
288,0115174_neurosketch,8,0.75,0.76190476190476186,bench_chair
289,0117171_neurosketch,8,0.29999999999999999,0.14285714285714285,bench_table
